r non-Coulombic_BLPS full_BLPS
   0.0000010000 1000001.5451081210    1.5451081210
   4.8200000000   -0.0010941551   -0.2085630348
   4.8300000000   -0.0010289250   -0.2080682625
   4.8400000000   -0.0009628386   -0.2075744088
   4.8500000000   -0.0008959088   -0.2070814758
   4.8600000000   -0.0008284473   -0.2065897641
   4.8700000000   -0.0007603163   -0.2060991253
   4.8800000000   -0.0006916769   -0.2056097097
   4.8900000000   -0.0006226151   -0.2051215926
   4.9000000000   -0.0005532159   -0.2046348486
   4.9100000000   -0.0004835640   -0.2041495518
   4.9200000000   -0.0004137434   -0.2036657759
   4.9300000000   -0.0003438400   -0.2031835966
   4.9400000000   -0.0002739281   -0.2027030779
   4.9500000000   -0.0002040931   -0.2022242951
   4.9600000000   -0.0001344179   -0.2017473211
   4.9700000000   -0.0000649789   -0.2012722224
   4.9800000000    0.0000041457   -0.2007990672
   4.9900000000    0.0000728794   -0.2003279222
   5.0000000000    0.0000000000   -0.2000000000
   5.0100000000    0.0000000000   -0.1996007984
   5.0200000000    0.0000000000   -0.1992031873
   5.0300000000    0.0000000000   -0.1988071571
   5.0400000000    0.0000000000   -0.1984126984
   5.0500000000    0.0000000000   -0.1980198020
   5.0600000000    0.0000000000   -0.1976284585
   5.0700000000    0.0000000000   -0.1972386588
   5.0800000000    0.0000000000   -0.1968503937
   5.0900000000    0.0000000000   -0.1964636542
   5.1000000000    0.0000000000   -0.1960784314
   5.1100000000    0.0000000000   -0.1956947162
   5.1200000000    0.0000000000   -0.1953125000
   5.1300000000    0.0000000000   -0.1949317739
   5.1400000000    0.0000000000   -0.1945525292
   5.1500000000    0.0000000000   -0.1941747573
   5.1600000000    0.0000000000   -0.1937984496
   5.1700000000    0.0000000000   -0.1934235977
   5.1800000000    0.0000000000   -0.1930501931
   5.1900000000    0.0000000000   -0.1926782274
   5.2000000000    0.0000000000   -0.1923076923
   5.2100000000    0.0000000000   -0.1919385797
   5.2200000000    0.0000000000   -0.1915708812
   5.2300000000    0.0000000000   -0.1912045889
   5.2400000000    0.0000000000   -0.1908396947
   5.2500000000    0.0000000000   -0.1904761905
   5.2600000000    0.0000000000   -0.1901140684
   5.2700000000    0.0000000000   -0.1897533207
   5.2800000000    0.0000000000   -0.1893939394
   5.2900000000    0.0000000000   -0.1890359168
   5.3000000000    0.0000000000   -0.1886792453
   5.3100000000    0.0000000000   -0.1883239171
   5.3200000000    0.0000000000   -0.1879699248
   5.3300000000    0.0000000000   -0.1876172608
   5.3400000000    0.0000000000   -0.1872659176
   5.3500000000    0.0000000000   -0.1869158879
   5.3600000000    0.0000000000   -0.1865671642
   5.3700000000    0.0000000000   -0.1862197393
   5.3800000000    0.0000000000   -0.1858736059
   5.3900000000    0.0000000000   -0.1855287570
   5.4000000000    0.0000000000   -0.1851851852
   5.4100000000    0.0000000000   -0.1848428835
   5.4200000000    0.0000000000   -0.1845018450
   5.4300000000    0.0000000000   -0.1841620626
   5.4400000000    0.0000000000   -0.1838235294
   5.4500000000    0.0000000000   -0.1834862385
   5.4600000000    0.0000000000   -0.1831501832
   5.4700000000    0.0000000000   -0.1828153565
   5.4800000000    0.0000000000   -0.1824817518
   5.4900000000    0.0000000000   -0.1821493625
   5.5000000000    0.0000000000   -0.1818181818
   5.5100000000    0.0000000000   -0.1814882033
   5.5200000000    0.0000000000   -0.1811594203
   5.5300000000    0.0000000000   -0.1808318264
   5.5400000000    0.0000000000   -0.1805054152
   5.5500000000    0.0000000000   -0.1801801802
   5.5600000000    0.0000000000   -0.1798561151
   5.5700000000    0.0000000000   -0.1795332136
   5.5800000000    0.0000000000   -0.1792114695
   5.5900000000    0.0000000000   -0.1788908766
   5.6000000000    0.0000000000   -0.1785714286
   5.6100000000    0.0000000000   -0.1782531194
   5.6200000000    0.0000000000   -0.1779359431
   5.6300000000    0.0000000000   -0.1776198934
   5.6400000000    0.0000000000   -0.1773049645
   5.6500000000    0.0000000000   -0.1769911504
   5.6600000000    0.0000000000   -0.1766784452
   5.6700000000    0.0000000000   -0.1763668430
   5.6800000000    0.0000000000   -0.1760563380
   5.6900000000    0.0000000000   -0.1757469244
   5.7000000000    0.0000000000   -0.1754385965
   5.7100000000    0.0000000000   -0.1751313485
   5.7200000000    0.0000000000   -0.1748251748
   5.7300000000    0.0000000000   -0.1745200698
   5.7400000000    0.0000000000   -0.1742160279
   5.7500000000    0.0000000000   -0.1739130435
   5.7600000000    0.0000000000   -0.1736111111
   5.7700000000    0.0000000000   -0.1733102253
   5.7800000000    0.0000000000   -0.1730103806
   5.7900000000    0.0000000000   -0.1727115717
   5.8000000000    0.0000000000   -0.1724137931
   5.8100000000    0.0000000000   -0.1721170396
   5.8200000000    0.0000000000   -0.1718213058
   5.8300000000    0.0000000000   -0.1715265866
   5.8400000000    0.0000000000   -0.1712328767
   5.8500000000    0.0000000000   -0.1709401709
   5.8600000000    0.0000000000   -0.1706484642
   5.8700000000    0.0000000000   -0.1703577513
   5.8800000000    0.0000000000   -0.1700680272
   5.8900000000    0.0000000000   -0.1697792869
   5.9000000000    0.0000000000   -0.1694915254
   5.9100000000    0.0000000000   -0.1692047377
