q non-Coulombic_BLPS full_BLPS
   1.3500000000   17.4167631300   10.5216352209
   1.3530000000   17.3756356221   10.5110508778
   1.3560000000   17.3345034055   10.5002593300
   1.3590000000   17.2933670882   10.4892629719
   1.3620000000   17.2522272465   10.4780641461
   1.3650000000   17.2110844587   10.4666651780
   1.3680000000   17.1699393049   10.4550683754
   1.3710000000   17.1287923661   10.4432760285
   1.3740000000   17.0876442248   10.4312904100
   1.3770000000   17.0464954636   10.4191137747
   1.3800000000   17.0053466657   10.4067483595
   1.3830000000   16.9641984142   10.3941963834
   1.3860000000   16.9230512918   10.3814600473
   1.3890000000   16.8819058806   10.3685415341
   1.3920000000   16.8407627614   10.3554430082
   1.3950000000   16.7996225138   10.3421666155
   1.3980000000   16.7584857155   10.3287144837
   1.4010000000   16.7173529422   10.3150887217
   1.4040000000   16.6762247673   10.3012914193
   1.4070000000   16.6351017612   10.2873246480
   1.4100000000   16.5939844915   10.2731904598
   1.4130000000   16.5528735222   10.2588908879
   1.4160000000   16.5117694138   10.2444279459
   1.4190000000   16.4706727227   10.2298036284
   1.4220000000   16.4295840008   10.2150199103
   1.4250000000   16.3885037957   10.2000787471
   1.4280000000   16.3474326500   10.1849820745
   1.4310000000   16.3063711011   10.1697318085
   1.4340000000   16.2653196809   10.1543298453
   1.4370000000   16.2242789170   10.1387780624
   1.4400000000   16.1832493275   10.1230783136
   1.4430000000   16.1422314264   10.1072324352
   1.4460000000   16.1012257240   10.0912422457
   1.4490000000   16.0602327213   10.0751095411
   1.4520000000   16.0192529106   10.0588360948
   1.4550000000   15.9782867803   10.0424236637
   1.4580000000   15.9373348106   10.0258739832
   1.4610000000   15.8963974744   10.0091887684
   1.4640000000   15.8554752371    9.9923697145
   1.4670000000   15.8145685565    9.9754184961
   1.4700000000   15.7736778825    9.9583367680
   1.4730000000   15.7328036574    9.9411261647
   1.4760000000   15.6919463152    9.9237883008
   1.4790000000   15.6511062823    9.9063247708
   1.4820000000   15.6102839768    9.8887371493
   1.4850000000   15.5694798084    9.8710269910
   1.4880000000   15.5286941792    9.8531958311
   1.4910000000   15.4879274826    9.8352451852
   1.4940000000   15.4471801040    9.8171765492
   1.4970000000   15.4064524206    9.7989913999
   1.5000000000   15.3657448013    9.7806911950
   1.5030000000   15.3250576072    9.7622773728
   1.5060000000   15.2843911908    9.7437513534
   1.5090000000   15.2437458970    9.7251145377
   1.5120000000   15.2031220626    9.7063683085
   1.5150000000   15.1625199847    9.6875139987
   1.5180000000   15.1219400800    9.6685530501
   1.5210000000   15.0813825666    9.6494866961
   1.5240000000   15.0408477823    9.6303162801
   1.5270000000   15.0003360259    9.6110430959
   1.5300000000   14.9598475890    9.5916684210
   1.5330000000   14.9193827559    9.5721935156
   1.5360000000   14.8789418043    9.5526196241
   1.5390000000   14.8385250051    9.5329479744
   1.5420000000   14.7981326228    9.5131797788
   1.5450000000   14.7577649157    9.4933162341
   1.5480000000   14.7174221359    9.4733585220
   1.5510000000   14.6771045297    9.4533078093
   1.5540000000   14.6368123379    9.4331652486
   1.5570000000   14.5965457959    9.4129319781
   1.5600000000   14.5563051341    9.3926091223
   1.5630000000   14.5160905779    9.3721977924
   1.5660000000   14.4759023482    9.3516990864
   1.5690000000   14.4357406616    9.3311140897
   1.5720000000   14.3956057307    9.3104438753
   1.5750000000   14.3554977643    9.2896895045
   1.5780000000   14.3154169676    9.2688520267
   1.5810000000   14.2753635428    9.2479324802
   1.5840000000   14.2353376892    9.2269318926
   1.5870000000   14.1953396031    9.2058512808
   1.5900000000   14.1553694790    9.1846916520
   1.5930000000   14.1154275089    9.1634540033
   1.5960000000   14.0755138832    9.1421393227
   1.5990000000   14.0356287909    9.1207485892
   1.6020000000   13.9957724196    9.0992827733
   1.6050000000   13.9559449563    9.0777428370
   1.6080000000   13.9161465870    9.0561297347
   1.6110000000   13.8763774976    9.0344444132
   1.6140000000   13.8366378738    9.0126878123
   1.6170000000   13.7969279016    8.9908608648
   1.6200000000   13.7572477673    8.9689644971
   1.6230000000   13.7175976581    8.9469996295
   1.6260000000   13.6779777619    8.9249671765
   1.6290000000   13.6383882680    8.9028680472
   1.6320000000   13.5988293672    8.8807031453
   1.6350000000   13.5593012518    8.8584733700
   1.6380000000   13.5198041161    8.8361796156
   1.6410000000   13.4803381564    8.8138227722
   1.6440000000   13.4409035716    8.7914037261
   1.6470000000   13.4015005628    8.7689233597
   1.6500000000   13.3621293339    8.7463825518
   1.6530000000   13.3227900919    8.7237821782
   1.6560000000   13.2834830464    8.7011231116
   1.6590000000   13.2442084107    8.6784062218
   1.6620000000   13.2049664011    8.6556323761
   1.6650000000   13.1657572837    8.6328024859
   1.6680000000   13.1265811436    8.6099172753
   1.6710000000   13.0874383461    8.5869777432
   1.6740000000   13.0483290764    8.5639847026
   1.6770000000   13.0092536148    8.5409390562
   1.6800000000   12.9702120634    8.5178415226
   1.6830000000   12.9312048023    8.4946930932
   1.6860000000   12.8922320326    8.4714945749
   1.6890000000   12.8532940054    8.4482468191
   1.6920000000   12.8143909761    8.4249506764
   1.6950000000   12.7755232041    8.4016069958
   1.6980000000   12.7366909530    8.3782166257
   1.7010000000   12.6978944905    8.3547804132
   1.7040000000   12.6591340885    8.3312992046
   1.7070000000   12.6204100230    8.3077738451
   1.7100000000   12.5817225739    8.2842051791
   1.7130000000   12.5430720254    8.2605940499
   1.7160000000   12.5044586652    8.2369413001
   1.7190000000   12.4658827852    8.2132477709
   1.7220000000   12.4273446807    8.1895143028
   1.7250000000   12.3888446509    8.1657417350
   1.7280000000   12.3503829985    8.1419309056
   1.7310000000   12.3119600295    8.1180826514
   1.7340000000   12.2735760522    8.0941978072
   1.7370000000   12.2352313809    8.0702772088
   1.7400000000   12.1969263299    8.0463216879
   1.7430000000   12.1586612176    8.0223320753
   1.7460000000   12.1204363647    7.9983092004
   1.7490000000   12.0822520944    7.9742538903
   1.7520000000   12.0441087322    7.9501669702
   1.7550000000   12.0060066059    7.9260492632
   1.7580000000   11.9679460448    7.9019015900
   1.7610000000   11.9299273801    7.8777247687
   1.7640000000   11.8919509444    7.8535196148
   1.7670000000   11.8540170715    7.8292869410
   1.7700000000   11.8161260964    7.8050275569
   1.7730000000   11.7782783547    7.7807422689
